Employee_ID,Department,Job_Level,Gender,Location,Education,Experience_Years,Performance_Rating,Remote_Work,Base_Salary(USD),Bonus_Percentage(%),Bonus_Amount(USD),Total_Compensation(USD)
EMP0001,Design,Mid,Male,Seattle,Bachelor,20,4,No,119160,19.0,22640,141800
EMP0002,Legal,Manager,Male,Chicago,Bachelor,15,3,No,184083,0.7,1288,185371
EMP0003,Engineering,Director,Male,Chicago,PhD,15,4,Yes,237389,16.8,39881,277270
EMP0004,Design,Lead,Female,Austin,Bachelor,21,4,No,153230,12.4,19000,172230
EMP0005,Marketing,Mid,Male,New York,Bachelor,11,2,Yes,95658,14.3,13679,109337
EMP0006,Legal,Mid,Male,Remote,Bachelor,1,4,No,79549,9.3,7398,86947
EMP0007,Legal,Mid,Male,Seattle,Bachelor,22,4,No,136613,17.9,24453,161066
EMP0008,Finance,Manager,Female,Seattle,Master,23,3,No,204085,16.8,34286,238371
EMP0009,Marketing,Manager,Male,Chicago,Bachelor,13,4,No,158596,14.5,22996,181592
EMP0010,Design,Mid,Male,Austin,Master,10,4,Yes,86935,21.5,18691,105626
EMP0011,Finance,Senior,Male,San Francisco,Bachelor,8,4,Yes,152827,2.5,3820,156647
EMP0012,Finance,Junior,Female,Chicago,Master,21,4,Yes,94681,7.5,7101,101782
EMP0013,Legal,Mid,Female,Chicago,Bachelor,6,4,No,97961,12.4,12147,110108
EMP0014,Operations,Senior,Male,Seattle,High School,11,4,No,121429,24.0,29142,150571
EMP0015,Finance,Mid,Male,Seattle,Bachelor,16,4,Yes,127382,1.8,2292,129674
EMP0016,Legal,Mid,Male,Chicago,Bachelor,8,3,No,102720,8.4,8628,111348
EMP0017,HR,Junior,Female,Seattle,Bachelor,5,3,Yes,60671,23.1,14015,74686
EMP0018,Finance,Lead,Female,Austin,Bachelor,11,3,No,146526,22.4,32821,179347
EMP0019,HR,Manager,Male,San Francisco,Master,19,3,No,176196,21.6,38058,214254
EMP0020,Design,Director,Female,San Francisco,High School,9,3,No,221874,7.7,17084,238958
EMP0021,Sales,Lead,Male,San Francisco,Bachelor,8,3,Yes,178644,21.2,37872,216516
EMP0022,Operations,Senior,Female,Chicago,Bachelor,11,5,No,117012,12.6,14743,131755
EMP0023,Design,Mid,Female,Remote,Master,0,5,Yes,70683,15.5,10955,81638
EMP0024,Engineering,Director,Female,Chicago,High School,1,4,Yes,218958,6.0,13137,232095
EMP0025,Marketing,Senior,Male,Chicago,High School,18,5,No,132318,17.7,23420,155738
EMP0026,Marketing,Senior,Female,Austin,Bachelor,0,5,No,99909,8.2,8192,108101
EMP0027,Sales,Senior,Male,San Francisco,Master,15,5,Yes,162591,8.6,13982,176573
